state_kind,eta_micro,n_cases,amplification_baseline_mean,amplification_baseline_std,fit_r2_baseline_mean,fit_r2_baseline_std,locality_score_mean,locality_score_std
ground,1.0,12,0.9999999999131023,3.041342266532176e-10,0.9948263856826851,0.010387143268874107,0.004114941192952782,0.0031063525250072843
ground,1.1,12,1.0087189999503712,0.02491186573148501,0.9948246790664738,0.010385778873237179,0.003922993666427308,0.0034635063118060487
ground,1.25,12,1.0258018423724493,0.05920025250214222,0.9948194564007933,0.010375186726449818,0.0036344389345020836,0.004118166546521345
ground,1.5,12,1.0617182309717699,0.11093681869961801,0.9948192053127851,0.010321357559934557,0.003219548261074267,0.005570836158684638
ground,2.0,12,1.1438858400396734,0.19873444807997429,0.9949011344746247,0.010048558130401663,0.0026357263181595084,0.010543423756075745
random,1.0,12,1.1374970577657244,0.5406979117980809,0.9154077913727466,0.08307892335248888,-0.01028865400961754,0.02573722382347296
random,1.1,12,0.6844181718076926,0.131602548175092,0.9221878083376187,0.07548378448440879,0.007652533572710583,0.0260194297801794
random,1.25,12,0.941863422198657,0.16163302136184085,0.9219667726371151,0.07608608988407328,-0.006987916634724776,0.023288913535354016
random,1.5,12,0.854624608061542,0.3425703094252879,0.9218542704964919,0.07636339246321577,0.0031731663317836503,0.007443575323866741
random,2.0,12,0.4078947775046864,0.2281303464370177,0.9208669404454778,0.07547019992126552,-0.007703810922344899,0.017041858407214668
thermal,1.0,12,0.9999999999521342,1.650590448756013e-10,0.9995438677676387,0.0009123131636725612,0.004796503175055602,0.0027439824395888873
thermal,1.1,12,1.0291512201988768,0.014991180753667632,0.9995247151415764,0.0009525889124676539,0.0045644612511249,0.0030147021490131536
thermal,1.25,12,1.0761603570043372,0.0383552000631194,0.9994850192427877,0.001011056328068901,0.0042173774869158675,0.003438182906031779
thermal,1.5,12,1.155338720334081,0.0771255365395766,0.9993727795554174,0.0011195370723468667,0.0036519912116320837,0.004146394543404154
thermal,2.0,12,1.2728457211306041,0.15736010721918492,0.9989474329097504,0.0015858932884479818,0.0026496121500188836,0.005546585637677926
