tau,d_s
0.01,0.19854522633420119
0.01123654800138751,0.21068756902711527
0.012626001098748564,0.23643808372452213
0.014187266741165962,0.26529188065652676
0.01594159037455999,0.29761078161492094
0.01791284454622004,0.33379530872256424
0.020127853758499396,0.3742877611414954
0.022616759492228647,0.4195751707577742
0.025413430367026365,0.4701919673699564
0.028555923019901074,0.5267221125046007
0.032086999973704504,0.5898003632854198
0.03605471154250502,0.6601121942372998
0.04051304969235382,0.7383917225264014
0.045522682755073096,0.8254167333919398
0.051151780992931425,0.9219995640564065
0.05747694424835353,1.0289721457791856
0.06458424430196978,1.1471628867892818
0.07257039612324216,1.2773622590884628
0.08154407395185162,1.4202728850181146
0.09162739011886736,1.5764385780183048
0.10295755673125127,1.7461452076741182
0.1156887528316282,1.9292846092283185
0.12999422244132455,2.125171538574641
0.1460686320364989,2.332304020467191
0.1641307195375129,2.5480616597966304
0.18442627085855348,2.7683488256422137
0.20723146452190294,2.9872169485573536
0.23285662984981953,3.196551509507458
0.2616504698748821,3.3859912233127574
0.29400480643347093,3.5433497024145453
0.33035991201283377,3.655880392466642
0.3712105009066361,3.712639307734115
0.4171124612056518,3.707787898133077
0.46869041923141924,3.643898626885239
0.5266462393484278,3.533559160937166
0.5917685748188821,3.3976573715173366
0.6649435996665045,3.260238176827702
0.7471670675868078,3.1419958319376775
0.8395578619995112,3.0554563135072037
0.9433732216299774,3.0037215153021357
1.0600258488068823,2.982378272039142
1.1911031332830067,2.982708911219378
1.3383887531737564,2.9944143266857157
1.5038869469554101,3.007036910183107
1.689849786812457,3.0102190107588545
1.8988078244652633,2.993409946867999
2.133604526501411,2.9456875768032287
2.3974349678010762,2.8562058779973576
2.6938893095901726,2.715555260631324
3.0270016537634614,2.5180142305806514
3.401304938279253,2.2642102407970524
3.8218926206331187,1.963166276362183
4.294487988789272,1.6324440387603003
4.825522042741279,1.295574372807064
5.422221006501586,0.977231868901838
6.092704661368674,0.6979099010302794
6.846096838574658,0.4701609908731038
7.692649574879138,0.29754025352615476
8.643882620598271,0.17601691071558676
9.712740198471169,0.096751666823274
10.913767146512727,0.04905763561399491
12.26330684177563,0.022750240859162617
13.779723598335568,0.009554638612628213
15.48365256585499,0.0035935705968863528
17.39828052930364,0.0011951998245880303
19.549661430912597,0.00034657842001309717
21.967070907932353,8.623736682198084e-05
24.683404670686485,1.8086149756137395e-05
27.73562614198415,3.1332264485063056e-06
31.165269449294303,4.38274720122816e-07
35.01900461431709,4.8244103969789384e-08
39.349272630958495,4.059408070804505e-09
44.21499907374487,2.525886076964927e-10
49.68239594734388,1.1194925775583057e-11
55.82586268862695,3.942411765136391e-13
62.728998581962436,-1.1427280478655032e-14
70.48574036451903,1.3331827225100078e-14
79.20164050192548,6.189776925938919e-14
88.99530352885225,-1.9045467464427315e-14
100.0,-3.2377294689526497e-14
